mode,chunk_start,chunk_ppl
full,0,6.01943182635319
full,1024,4.322933611872802
full,2048,5.782514727026421
full,3072,5.159578146136959
full,4096,5.213615227364519
full,5120,4.7491656976208345
full,6144,3.2995853974769958
full,7168,4.974048448851269
full,8192,4.765362851846308
full,9216,3.571616123711248
full,10240,2.195789935766792
full,11264,5.434308697020945
window,0,6.01943182635319
window,1024,4.322933611872802
window,2048,16.328319173514927
window,3072,11.604806395649721
window,4096,13.478163773561947
window,5120,13.250135288864701
window,6144,5.422047328839027
window,7168,13.36165728059452
window,8192,11.37641440638434
window,9216,7.230869618904014
window,10240,3.008650443158405
window,11264,9.935300596306243
sink_window,0,6.01943182635319
sink_window,1024,4.322933611872802
sink_window,2048,5.880420552796268
sink_window,3072,5.478081511869697
sink_window,4096,5.471756269923998
sink_window,5120,4.945207771300413
sink_window,6144,3.5158187602218884
sink_window,7168,5.3638935779471
sink_window,8192,5.338529630692747
sink_window,9216,3.7772620417464107
sink_window,10240,2.2707989306130436
sink_window,11264,6.126290905857563
